time,cpu_util,cpu_std,mem_util,mem_std
2018-01-01 00:00:00,18.42297640774576,9.14589022486443,87.00596596135692,12.047785084036065
2018-01-01 00:01:00,16.82559872816059,9.311466405014373,86.773171932323,12.096155849450048
2018-01-01 00:02:00,15.359166022753463,7.901225226298101,86.71303800535968,11.690227499786156
2018-01-01 00:03:00,15.790528221613274,9.15702568887228,86.65344182428073,11.725868833537598
2018-01-01 00:04:00,16.21639073808416,8.074807599681064,86.73167964894184,11.75894843160735
2018-01-01 00:05:00,18.077814287831604,9.414127063197363,86.92850706031487,11.684643610149466
2018-01-01 00:06:00,26.85036727028574,10.06800779019803,89.31018638923729,11.858176129645258
2018-01-01 00:07:00,32.90649443626202,12.043633899391752,91.14559520768529,11.88599892095577
2018-01-01 00:08:00,32.39149890656695,12.403684508058403,91.39874831074985,11.601461048315509
2018-01-01 00:09:00,29.043710944533657,11.504922975532969,89.79384728830216,11.482316519108835
2018-01-01 00:10:00,31.713745736486214,11.54575269584946,89.70862188483842,11.623635724259671
2018-01-01 00:11:00,29.865096013754016,11.983732270392755,88.43457003123888,11.466107098867097
2018-01-01 00:12:00,27.243976112358453,11.039305240185099,87.9454024635473,11.662323336152271
2018-01-01 00:13:00,27.033690358921245,10.4017018770445,87.85175526346723,11.682906365840331
2018-01-01 00:14:00,26.46153054702526,10.339623116946166,87.2427801068744,11.521376091301448
2018-01-01 00:15:00,27.411161163450362,9.339766965728673,87.00289024734793,11.73371566441273
2018-01-01 00:16:00,27.699681350412735,9.4808212203339,87.15710655937066,11.819143589258857
2018-01-01 00:17:00,31.65083034360738,11.4325426675529,87.81175211375505,11.66741143712985
2018-01-01 00:18:00,32.61117262859026,10.68530482114455,89.06145499559769,11.836618025122897
2018-01-01 00:19:00,32.89514924482307,9.784877417897741,89.3969739874262,11.981866381099286
2018-01-01 00:20:00,31.863385822473436,9.137998704061717,89.76376122409691,12.402148904127388
2018-01-01 00:21:00,31.07208336355927,9.261167205786789,90.18068400737178,12.51996089502248
2018-01-01 00:22:00,28.565439809041916,8.891926198302619,88.35585454514546,12.206923186872075
2018-01-01 00:23:00,26.605671775441568,8.738513529611183,88.14441772731674,12.2336211738674
2018-01-01 00:24:00,26.97579634593328,9.360015285792992,88.39523021467097,12.171617617550773
2018-01-01 00:25:00,29.013852048680395,9.005818950227118,89.31344582125205,12.627497835835987
2018-01-01 00:26:00,28.85838139384401,8.954244625090382,89.97893155865053,12.827316423229641
2018-01-01 00:27:00,30.45346730399478,9.20757198068308,90.32178136347908,12.701375083119666
2018-01-01 00:28:00,26.420933163053732,8.33283633625307,89.13643902728386,12.404596056737349
2018-01-01 00:29:00,26.123034143742927,8.265671828707271,89.26998217116785,12.634063549798016
2018-01-01 00:30:00,29.025499988958074,9.542041627626746,89.21085523809109,12.659323298367882
2018-01-01 00:31:00,27.293625520006383,8.856784363075208,88.67526269079774,12.352835855398844
2018-01-01 00:32:00,22.68863353471774,7.776069155025507,86.66483218417225,12.126963531133574
2018-01-01 00:33:00,22.908824785991953,7.705955505499468,86.13895687745169,12.095981217834266
2018-01-01 00:34:00,21.635313147472985,7.7317667761081905,85.78203338256309,12.064306790374339
2018-01-01 00:35:00,20.88515637568406,8.119653278756259,85.44580019040819,11.989390516769282
2018-01-01 00:36:00,18.602117658112416,7.686162145170127,84.79604349778353,11.902991573366222
2018-01-01 00:37:00,21.106635599558803,8.80122857705984,84.77436236346972,11.612971748582197
2018-01-01 00:38:00,20.135852126067935,8.829343482719063,84.84961857616604,11.728684936227467
2018-01-01 00:39:00,20.243894437399913,7.19253524870548,84.93561079851916,11.823143866339207
2018-01-01 00:40:00,23.353997867962367,9.0187111242518,85.8321704909555,12.088703233646202
2018-01-01 00:41:00,28.55477643897856,11.692719548181238,87.45334674126752,12.30994242016863
2018-01-01 00:42:00,25.27159646507539,10.231597485894538,87.0226080102302,12.449461864036408
2018-01-01 00:43:00,26.11594154784098,11.398145831220097,87.41627687078477,12.508300334295313
2018-01-01 00:44:00,24.672057467635828,9.894538959005722,86.25322173893666,12.379621790090887
2018-01-01 00:45:00,25.48050315436824,10.28581174910383,86.16097654467619,12.354071717476929
2018-01-01 00:46:00,23.74513915695718,9.255979813559414,85.78002815670807,12.363726429467953
2018-01-01 00:47:00,24.73868835935619,9.893481457401123,85.30231700940683,12.951799166017693
2018-01-01 00:48:00,28.68350859102108,11.086619325000038,85.84886500158808,13.132451214435084
2018-01-01 00:49:00,28.463933655135964,9.90111263081916,86.58360451442893,12.90159565374268
2018-01-01 00:50:00,29.450472102649922,10.586469103727673,87.27060660711483,12.310469731547807
2018-01-01 00:51:00,29.15777032628724,9.1279710910077,87.15793555132745,12.645700041709569
2018-01-01 00:52:00,23.885339680811413,7.862486865576062,86.74991519740378,12.962388065138713
2018-01-01 00:53:00,22.27537402750627,8.09018004490631,86.11235224639444,12.791929731260147
2018-01-01 00:54:00,21.78357080215663,8.205603519203562,85.7531274528629,12.437999590697736
2018-01-01 00:55:00,21.04990639228722,8.436199416565414,85.90237491119585,12.417364806249621
2018-01-01 00:56:00,20.66387738994938,7.635299345427644,86.55187642270157,12.21472418370387
2018-01-01 00:57:00,23.36493525485355,8.73312802801407,87.46781727803945,12.050136782472867
2018-01-01 00:58:00,19.647674465840392,7.403312584268108,87.26795996722916,12.0988001718866
2018-01-01 00:59:00,20.19257009616658,7.927172636032272,87.48444152560866,12.071075053038191
2018-01-01 01:00:00,23.317461369490474,8.332061726028897,87.87146367097114,12.230038988813687
