time,cpu_util,cpu_std,mem_util,mem_std,gpu_util,gpu_std
2017-10-03 00:00:00,17.586906633910765,15.165887927773042,83.64456977090666,20.730106743353502,44.58288083538294,35.25365237475962
2017-10-03 00:10:00,17.404341523340896,15.106925783530022,83.69761186014337,20.663532913710608,44.607929975428405,35.070194590450484
2017-10-03 00:20:00,17.533652334149114,15.198511313589421,83.5222951797323,20.84190529609371,43.74572174447328,35.3079952700462
2017-10-03 00:30:00,17.451568386567015,15.104897362703062,83.52722311730784,20.899178626033184,44.690849713346175,35.492745984490185
2017-10-03 00:40:00,17.45793529892924,15.069825459228781,83.63510520633078,20.902757345408762,44.49001996314325,35.32952667803878
2017-10-03 00:50:00,17.2820020475053,14.963213242052428,83.50587404085245,20.829337635733154,43.7887003480749,35.093838874449844
2017-10-03 01:00:00,17.33921785421901,14.926718871066717,83.53060974706186,20.82369022571313,44.18568437755625,35.034007600341
2017-10-03 01:10:00,17.502590499588628,15.158380375995495,83.37680764132622,21.060395609527433,44.295746314498295,35.292696873288804
2017-10-03 01:20:00,17.454398853397286,15.08691358818557,83.47015765776408,21.028592430348642,44.13156070843524,35.08062498148487
2017-10-03 01:30:00,17.387594185092535,15.082857887161726,83.42209810848532,21.041239677575838,43.93650081900279,34.84058945943342
2017-10-03 01:40:00,17.491414414415306,15.159417440404411,83.26337236727436,20.957888580885914,43.734412366910156,35.124498128726096
2017-10-03 01:50:00,17.48894963144945,15.227411339531153,83.27920383593555,20.987363330411227,43.8229617117103,35.05812825094318
2017-10-03 02:00:00,17.455726863230062,15.08770661815792,83.26074644709202,21.056568077384476,45.247473382474645,35.14065642381201
2017-10-03 02:10:00,17.296535217033806,15.242003881832906,83.30380928678181,21.08703077821175,44.44145116707641,35.9099747868399
2017-10-03 02:20:00,17.216387796885886,15.162990530847697,83.38012349812831,21.06343793212419,44.27012387387373,35.69810567804868
2017-10-03 02:30:00,17.474628992630734,15.29587993057801,83.18656047751537,21.01279785414004,44.77020884520682,35.79490037624291
2017-10-03 02:40:00,17.31117731368029,15.156943093115066,83.14845629014971,20.962505850840113,43.83149211711781,36.02254606363344
2017-10-03 02:50:00,17.21522645372743,15.212125932536614,83.23803803978679,20.98311449407445,43.54522624897668,36.22613373563857
2017-10-03 03:00:00,17.16773710073756,15.189578174471844,83.24336819524717,20.937322024378197,43.567839885338934,35.82378409593532
2017-10-03 03:10:00,17.247023751022354,15.174210732462774,83.27621838596941,20.922723446814736,42.80213298525966,35.119614198014034
2017-10-03 03:20:00,19.442271089267553,16.615701489817017,83.73127094303175,20.210989507092037,46.767736486484985,34.62255811146545
2017-10-03 03:30:00,19.900302620802954,17.007601090537296,83.82441503981565,19.984367803965114,47.9478014946789,34.35418378256401
2017-10-03 03:40:00,19.800189189187485,16.656390042288916,83.81277486932274,19.98272324250806,47.17343263718301,34.81515832271212
2017-10-03 03:50:00,19.63701638001721,16.637340261119668,83.78340913825706,20.04382998729054,46.589876126124906,34.860839355052555
2017-10-03 04:00:00,19.629042588040292,16.79326875609173,83.70612825340497,20.20242983499224,45.7485544635527,35.58675000651557
2017-10-03 04:10:00,19.49983230958632,16.855128912028597,83.62453156049413,20.133395272236992,45.24194103193949,35.223691766492735
2017-10-03 04:20:00,19.47926719901656,16.82354288930764,83.57770118337208,20.0497157015726,45.94684326371962,35.84369479592583
2017-10-03 04:30:00,19.71479524979788,17.037692515198636,83.44379388675357,20.00248116806825,46.227312141686596,36.49663998512664
2017-10-03 04:40:00,19.592877559380085,16.950256935548808,83.33238800405668,20.1372664504949,46.09889025389158,36.24394624868939
2017-10-03 04:50:00,19.486030303032514,16.738925358196354,83.12913750035645,20.409404930790707,45.743569307942934,35.509022958296576
2017-10-03 05:00:00,18.87862489762285,16.796733117835686,82.83993275582615,20.47430024656713,44.81069103194277,36.07663064336535
2017-10-03 05:10:00,19.220957821456967,16.95400054944144,82.83879798633969,20.466872039405605,45.1199866912368,34.95660769313894
2017-10-03 05:20:00,19.358598280093933,16.944384438999517,82.93480955157641,20.455340555132615,44.57051238738969,34.27194810948036
2017-10-03 05:30:00,19.63257493857526,17.328058419133814,82.94151991532003,20.340617743605126,45.60418611793789,34.175127707385414
2017-10-03 05:40:00,19.298181818179017,17.049659722292265,83.06722002901972,20.30060364767986,44.00024518836887,34.14782987936349
2017-10-03 05:50:00,19.221108108109963,17.108718605854055,83.0680568859187,20.366180739804275,44.13528869778848,34.531162046779016
2017-10-03 06:00:00,19.02676003275861,16.771348304572257,83.48821335623768,20.253825287954484,44.51029791154697,35.03495227440148
2017-10-03 06:10:00,18.840774365278836,16.648544730156637,83.66461065135042,20.187215166254752,43.82404688779194,34.62061401787494
2017-10-03 06:20:00,18.737770270269557,16.716129488933525,83.41579529866519,20.440925800222253,43.265426392302196,35.2612813522778
2017-10-03 06:30:00,18.757429565930664,16.976012279014668,83.638976744164,20.256813390979502,43.93633036445589,35.54755802262397
2017-10-03 06:40:00,18.702626945127154,16.86086947221054,83.56437658410755,20.513692728098544,42.753036957412974,34.96286827909853
2017-10-03 06:50:00,18.78352170352445,16.875862880754845,83.61496386959705,20.375508060909752,43.91509725634391,35.123616853544625
2017-10-03 07:00:00,19.053139230135,17.12087852508052,83.77809514821485,20.120561086577084,43.519678542178,34.29602040159725
2017-10-03 07:10:00,18.775431203927877,16.962554884993267,83.78090935369896,20.208288382319854,43.17753992628894,34.6883041137047
2017-10-03 07:20:00,18.565251433248807,16.598779985175675,83.88345729615328,20.085324264166957,42.14962223587269,34.06057893438886
